ID taxonômico,Classificação taxonômica,nome científico,scientificNameAuthorship,taxonomicStatus,estabelecer meios,Gênero,família,ordem,classe,filo,reino,nome do conjunto de dados,parentGuid,acceptedConceptName,acceptedConceptID,tipo,título
BL97,species,"Pionopsitta pileata (Scopoli, 1769)","(Scopoli, 1769)",accepted,,"Pionopsitta Bonaparte, 1854","Psittacidae Rafinesque, 1815","Psittaciformes Wagler, 1830","Aves Linnaeus, 1758","Chordata Haeckel, 1874",Animalia,"Banco Taxonômico Integrado da Biodiversidade Brasileira - Flora, Funga e Fauna",BK8C,,,TAXON,
5KM6,species,"Uca (Uca) maracoani (Latreille, 1802)","(Latreille, 1802)",accepted,,Uca,"Ocypodidae Rafinesque, 1815","Decapoda Latreille, 1803","Malacostraca Latreille, 1802","Arthropoda Gravenhorst, 1843",Animalia,"Banco Taxonômico Integrado da Biodiversidade Brasileira - Flora, Funga e Fauna",G56K,,,TAXON,
G788,species,"Caeruleuptychia aegrota (Butler, 1867)","(Butler, 1867)",accepted,,"Caeruleuptychia Forster, 1964","Nymphalidae Rafinesque, 1815","Lepidoptera Linnaeus, 1758","Insecta Linnaeus, 1758","Arthropoda Gravenhorst, 1843",Animalia,"Banco Taxonômico Integrado da Biodiversidade Brasileira - Flora, Funga e Fauna",DKGW,,,TAXON,
BKF7,species,Galeandra paraguayensis Cogn.,Cogn.,accepted,,Galeandra Lindl.,Orchidaceae A.Juss.,Asparagales,Liliopsida,Tracheophyta,Plantae,"Banco Taxonômico Integrado da Biodiversidade Brasileira - Flora, Funga e Fauna",9CDM,,,TAXON,
BN6G,species,Rottboellia cochinchinensis (Lour.) Clayton,(Lour.) Clayton,accepted,,Rottboellia L.f.,Poaceae Barnhart,Poales,Liliopsida,Tracheophyta,Plantae,"Banco Taxonômico Integrado da Biodiversidade Brasileira - Flora, Funga e Fauna",7HLM,,,TAXON,
9W2M,species,Pleiochiton roseum Cogn.,Cogn.,accepted,,Pleiochiton Naudin ex A.Gray,Melastomataceae A.Juss.,Myrtales,Magnoliopsida,Tracheophyta,Plantae,"Banco Taxonômico Integrado da Biodiversidade Brasileira - Flora, Funga e Fauna",GGM5,,,TAXON,
F88P,species,Stevia cinerascens Sch.Bip. ex Baker,Sch.Bip. ex Baker,accepted,,Stevia Cav.,Asteraceae Bercht. & J.Presl,Asterales,Magnoliopsida,Tracheophyta,Plantae,"Banco Taxonômico Integrado da Biodiversidade Brasileira - Flora, Funga e Fauna",HXXK,,,TAXON,
FBVR,species,"Miathyria simplex (Rambur, 1842)","(Rambur, 1842)",accepted,,"Miathyria Kirby, 1889","Libellulidae Leach in Brewster, 1815","Odonata Fabricius, 1793","Insecta Linnaeus, 1758","Arthropoda Gravenhorst, 1843",Animalia,"Banco Taxonômico Integrado da Biodiversidade Brasileira - Flora, Funga e Fauna",6P5S,,,TAXON,
M2M,species,"Littoraria flava (King, 1832)","(King, 1832)",accepted,,"Littoraria Gray, 1833","Littorinidae Children, 1834","Littorinimorpha Golikov & Starobogatov, 1975","Gastropoda Cuvier, 1795","Mollusca Linnaeus, 1758",Animalia,"Banco Taxonômico Integrado da Biodiversidade Brasileira - Flora, Funga e Fauna",C2P3,,,TAXON,
5H76,species,Adiantum petiolatum Desv.,Desv.,accepted,,Adiantum L.,Pteridaceae E.D.M.Kirchn.,Polypodiales,Polypodiopsida,Tracheophyta,Plantae,"Banco Taxonômico Integrado da Biodiversidade Brasileira - Flora, Funga e Fauna",6DRS,,,TAXON,
8GQ,species,"Coprinopsis stercorea (Fr.) Redhead, Vilgalys & Moncalvo","(Fr.) Redhead, Vilgalys & Moncalvo",accepted,,Coprinopsis P. Karst.,,Agaricales Underw.,,Basidiomycota Whittaker ex R.T. Moore,Fungi,"Banco Taxonômico Integrado da Biodiversidade Brasileira - Flora, Funga e Fauna",4P2P,,,TAXON,
BSJF,species,"Remartinia luteipennis (Burmeister, 1839)","(Burmeister, 1839)",accepted,,"Remartinia Navás, 1911","Aeshnidae Leach in Brewster, 1815","Odonata Fabricius, 1793","Insecta Linnaeus, 1758","Arthropoda Gravenhorst, 1843",Animalia,"Banco Taxonômico Integrado da Biodiversidade Brasileira - Flora, Funga e Fauna",7HSB,,,TAXON,
HD4V,species,"Steatoda diamantina (Levi, 1962)","(Levi, 1962)",accepted,,"Steatoda Sundevall, 1833","Theridiidae Sundevall, 1833","Araneae Clerck, 1757","Arachnida Lamarck, 1801","Arthropoda Gravenhorst, 1843",Animalia,"Banco Taxonômico Integrado da Biodiversidade Brasileira - Flora, Funga e Fauna",5JJ5,,,TAXON,
HMFD,species,Peperomia tetraphylla (G.Forst.) Hook. & Arn.,(G.Forst.) Hook. & Arn.,accepted,,Peperomia Ruiz & Pav.,Piperaceae Giseke,Piperales,Magnoliopsida,Tracheophyta,Plantae,"Banco Taxonômico Integrado da Biodiversidade Brasileira - Flora, Funga e Fauna",GYQX,,,TAXON,
KG8,species,Paspalum regnellii Mez,Mez,accepted,,Paspalum L.,Poaceae Barnhart,Poales,Liliopsida,Tracheophyta,Plantae,"Banco Taxonômico Integrado da Biodiversidade Brasileira - Flora, Funga e Fauna",HV2W,,,TAXON,
8J6Z,species,"Pachymerus nucleorum Fabricius, 1792","Fabricius, 1792",accepted,,"Pachymerus Thunerg, 1805","Chrysomelidae Latreille, 1802","Coleoptera Linnaeus, 1758","Insecta Linnaeus, 1758","Arthropoda Gravenhorst, 1843",Animalia,"Banco Taxonômico Integrado da Biodiversidade Brasileira - Flora, Funga e Fauna",RQ5,,,TAXON,
8FMN,species,Capsicum baccatum L.,L.,accepted,,Capsicum L.,Solanaceae A.Juss.,Solanales,Magnoliopsida,Tracheophyta,Plantae,"Banco Taxonômico Integrado da Biodiversidade Brasileira - Flora, Funga e Fauna",3J7,,,TAXON,
4B2X,species,"Leucopternis kuhli Bonaparte, 1850","Bonaparte, 1850",accepted,,"Leucopternis Kaup, 1847","Accipitridae Vigors, 1824","Accipitriformes Bonaparte, 1831","Aves Linnaeus, 1758","Chordata Haeckel, 1874",Animalia,"Banco Taxonômico Integrado da Biodiversidade Brasileira - Flora, Funga e Fauna",8WKX,,,TAXON,
B36L,species,Euphorbia estevesii N.Zimm. & P.J.Braun,N.Zimm. & P.J.Braun,accepted,,Euphorbia L.,Euphorbiaceae Juss.,Malpighiales,Magnoliopsida,Tracheophyta,Plantae,"Banco Taxonômico Integrado da Biodiversidade Brasileira - Flora, Funga e Fauna",CWJY,,,TAXON,
3RV8,species,"Sylvicola annuliferus (Edwards, 1923)","(Edwards, 1923)",accepted,,"Sylvicola Harris, 1780","Anisopodidae Knab, 1912","Diptera Linnaeus, 1758","Insecta Linnaeus, 1758","Arthropoda Gravenhorst, 1843",Animalia,"Banco Taxonômico Integrado da Biodiversidade Brasileira - Flora, Funga e Fauna",49SN,,,TAXON,
56NC,species,"Psocathropos lachlani Ribaga, 1899","Ribaga, 1899",accepted,,"Psocathropos Ribaga, 1899","Psyllipsocidae Lienhard & Smithers, 2002","Psocoptera Shipley, 1904","Insecta Linnaeus, 1758","Arthropoda Gravenhorst, 1843",Animalia,"Banco Taxonômico Integrado da Biodiversidade Brasileira - Flora, Funga e Fauna",48LW,,,TAXON,
K6B,species,Neoregelia farinosa (Ule) L.B.Sm.,(Ule) L.B.Sm.,accepted,,Neoregelia L.B.Sm.,Bromeliaceae A.Juss.,Poales,Liliopsida,Tracheophyta,Plantae,"Banco Taxonômico Integrado da Biodiversidade Brasileira - Flora, Funga e Fauna",3Y22,,,TAXON,
B8S6,species,Pabstiella colorata (Pabst) Luer & Toscano,(Pabst) Luer & Toscano,accepted,,Pabstiella Brieger & Senghas,Orchidaceae A.Juss.,Asparagales,Liliopsida,Tracheophyta,Plantae,"Banco Taxonômico Integrado da Biodiversidade Brasileira - Flora, Funga e Fauna",42C3,,,TAXON,
HZFW,species,Perama hirsuta Aubl.,Aubl.,accepted,,Perama Aubl.,Rubiaceae Juss.,Gentianales,Magnoliopsida,Tracheophyta,Plantae,"Banco Taxonômico Integrado da Biodiversidade Brasileira - Flora, Funga e Fauna",565Z,,,TAXON,
D6XH,species,Chaetogastra macranthera (Miq.) F.S.Mey. & R.Goldenb.,(Miq.) F.S.Mey. & R.Goldenb.,accepted,,Chaetogastra DC.,Melastomataceae A.Juss.,Myrtales,Magnoliopsida,Tracheophyta,Plantae,"Banco Taxonômico Integrado da Biodiversidade Brasileira - Flora, Funga e Fauna",7X42,,,TAXON,
33CM,species,"Odontophorus gujanensis (Gmelin, 1789)","(Gmelin, 1789)",accepted,,"Odontophorus Vieillot, 1816","Odontophoridae Gould, 1844","Galliformes Linnaeus, 1758","Aves Linnaeus, 1758","Chordata Haeckel, 1874",Animalia,"Banco Taxonômico Integrado da Biodiversidade Brasileira - Flora, Funga e Fauna",4D7Y,,,TAXON,
7X5B,species,"Maeota dichrura Simon, 1901","Simon, 1901",accepted,,"Maeota Simon, 1901","Salticidae Blackwall, 1841","Araneae Clerck, 1757","Arachnida Lamarck, 1801","Arthropoda Gravenhorst, 1843",Animalia,"Banco Taxonômico Integrado da Biodiversidade Brasileira - Flora, Funga e Fauna",7XLK,,,TAXON,
G2FG,species,Luetzelburgia bahiensis Yakovlev,Yakovlev,accepted,,Luetzelburgia Harms,Fabaceae Lindl.,Fabales,Magnoliopsida,Tracheophyta,Plantae,"Banco Taxonômico Integrado da Biodiversidade Brasileira - Flora, Funga e Fauna",J2QH,,,TAXON,
94TR,species,"Brachymesia furcata (Hagen, 1861)","(Hagen, 1861)",accepted,,"Brachymesia Kirby, 1889","Libellulidae Leach in Brewster, 1815","Odonata Fabricius, 1793","Insecta Linnaeus, 1758","Arthropoda Gravenhorst, 1843",Animalia,"Banco Taxonômico Integrado da Biodiversidade Brasileira - Flora, Funga e Fauna",FCZF,,,TAXON,
GHYZ,species,Elaphoglossum plumosum (Fée) T.Moore,(Fée) T.Moore,accepted,,Elaphoglossum Schott ex J.Sm.,Dryopteridaceae Herter,Polypodiales,Polypodiopsida,Tracheophyta,Plantae,"Banco Taxonômico Integrado da Biodiversidade Brasileira - Flora, Funga e Fauna",HWW9,,,TAXON,
47DD,species,Pabstiella matinhensis (Hoehne) Luer,(Hoehne) Luer,accepted,,Pabstiella Brieger & Senghas,Orchidaceae A.Juss.,Asparagales,Liliopsida,Tracheophyta,Plantae,"Banco Taxonômico Integrado da Biodiversidade Brasileira - Flora, Funga e Fauna",42C3,,,TAXON,
8G4G,species,"Lebia (Chelonodema) dorsalis Dejean, 1826","Dejean, 1826",accepted,,"Lebia Latreille, 1802","Carabidae Latreille, 1802","Coleoptera Linnaeus, 1758","Insecta Linnaeus, 1758","Arthropoda Gravenhorst, 1843",Animalia,"Banco Taxonômico Integrado da Biodiversidade Brasileira - Flora, Funga e Fauna",CX33,,,TAXON,
7Y88,species,Sesbania exasperata Kunth,Kunth,accepted,,Sesbania Scop.,Fabaceae Lindl.,Fabales,Magnoliopsida,Tracheophyta,Plantae,"Banco Taxonômico Integrado da Biodiversidade Brasileira - Flora, Funga e Fauna",9JMB,,,TAXON,
D625,species,"Helicops angulatus (Linnaeus, 1758)","(Linnaeus, 1758)",accepted,,"Helicops Wagler, 1830","Dipsadidae Bonaparte, 1838","Squamata Oppel, 1811","Reptilia Laurenti, 1768","Chordata Haeckel, 1874",Animalia,"Banco Taxonômico Integrado da Biodiversidade Brasileira - Flora, Funga e Fauna",DQM7,,,TAXON,
3RJM,species,"Alpheus bouvieri Milne-Edwards, 1878","Milne-Edwards, 1878",accepted,,"Alpheus Fabricius, 1798","Alpheidae Rafinesque, 1815","Decapoda Latreille, 1803","Malacostraca Latreille, 1802","Arthropoda Gravenhorst, 1843",Animalia,"Banco Taxonômico Integrado da Biodiversidade Brasileira - Flora, Funga e Fauna",GTX4,,,TAXON,
6BNS,species,"Neivacoris microcephalus Lent & Wygodzinsky, 1947","Lent & Wygodzinsky, 1947",accepted,,"Neivacoris Lent & Wygodzinsky, 1947","Reduviidae Latreille, 1807","Hemiptera Linnaeus, 1758","Insecta Linnaeus, 1758","Arthropoda Gravenhorst, 1843",Animalia,"Banco Taxonômico Integrado da Biodiversidade Brasileira - Flora, Funga e Fauna",7CGB,,,TAXON,
GHZG,species,Guatteria maypurensis Kunth,Kunth,accepted,,Guatteria Ruiz & Pav.,Annonaceae Juss.,Magnoliales,Magnoliopsida,Tracheophyta,Plantae,"Banco Taxonômico Integrado da Biodiversidade Brasileira - Flora, Funga e Fauna",5ML4,,,TAXON,
4T8X,species,Pouteria venosa (Mart.) Baehni,(Mart.) Baehni,accepted,,Pouteria Aubl.,Sapotaceae Juss.,Ericales,Magnoliopsida,Tracheophyta,Plantae,"Banco Taxonômico Integrado da Biodiversidade Brasileira - Flora, Funga e Fauna",5QF,,,TAXON,
6WHH,species,Galeandra devoniana M.R.Schomb. ex Lindl.,M.R.Schomb. ex Lindl.,accepted,,Galeandra Lindl.,Orchidaceae A.Juss.,Asparagales,Liliopsida,Tracheophyta,Plantae,"Banco Taxonômico Integrado da Biodiversidade Brasileira - Flora, Funga e Fauna",9CDM,,,TAXON,
6D36,species,"Eciton burchellii (Westwood, 1842)","(Westwood, 1842)",accepted,,"Eciton Latreille, 1804","Formicidae Latreille, 1802","Hymenoptera Linnaeus, 1758","Insecta Linnaeus, 1758","Arthropoda Gravenhorst, 1843",Animalia,"Banco Taxonômico Integrado da Biodiversidade Brasileira - Flora, Funga e Fauna",WKK,,,TAXON,
BSTS,species,Hippeastrum stylosum Herb.,Herb.,accepted,,Hippeastrum Herb.,Amaryllidaceae J. St.-Hil.,Asparagales,Liliopsida,Tracheophyta,Plantae,"Banco Taxonômico Integrado da Biodiversidade Brasileira - Flora, Funga e Fauna",GKYT,,,TAXON,
9WSF,species,"Caelopygus melanocephalus Kollar, 1839","Kollar, 1839",accepted,,"Caelopygus Koch, 1839","Gonyleptidae Sundevall, 1833","Opiliones Sundevall, 1833","Arachnida Lamarck, 1801","Arthropoda Gravenhorst, 1843",Animalia,"Banco Taxonômico Integrado da Biodiversidade Brasileira - Flora, Funga e Fauna",48VR,,,TAXON,
5BWF,species,Morganella sulcatostoma C.R. Alves & Cortez,C.R. Alves & Cortez,accepted,,Morganella Zeller,,Agaricales Underw.,,Basidiomycota Whittaker ex R.T. Moore,Fungi,"Banco Taxonômico Integrado da Biodiversidade Brasileira - Flora, Funga e Fauna",B2YL,,,TAXON,
C5HR,species,Pseuderanthemum carruthersii (Seem.) Guillaumin,(Seem.) Guillaumin,accepted,,Pseuderanthemum Radlk. ex Lindau,Acanthaceae Juss.,Lamiales,Magnoliopsida,Tracheophyta,Plantae,"Banco Taxonômico Integrado da Biodiversidade Brasileira - Flora, Funga e Fauna",HNBW,,,TAXON,
5HV3,species,"Hesperocharis erota (Lucas, 1852)","(Lucas, 1852)",accepted,,"Hesperocharis Felder, 1862","Pieridae Swainson, 1820","Lepidoptera Linnaeus, 1758","Insecta Linnaeus, 1758","Arthropoda Gravenhorst, 1843",Animalia,"Banco Taxonômico Integrado da Biodiversidade Brasileira - Flora, Funga e Fauna",992M,,,TAXON,
6KT2,species,Leandra alpestris (Gardner) Cogn.,(Gardner) Cogn.,accepted,,Leandra Raddi,Melastomataceae A.Juss.,Myrtales,Magnoliopsida,Tracheophyta,Plantae,"Banco Taxonômico Integrado da Biodiversidade Brasileira - Flora, Funga e Fauna",BXRL,,,TAXON,
J7JM,species,"Juditha molpe (Hübner, 1808)","(Hübner, 1808)",accepted,,"Juditha Hemming, 1964","Riodinidae Grote, 1895","Lepidoptera Linnaeus, 1758","Insecta Linnaeus, 1758","Arthropoda Gravenhorst, 1843",Animalia,"Banco Taxonômico Integrado da Biodiversidade Brasileira - Flora, Funga e Fauna",FHYD,,,TAXON,
FMX9,species,Eustachys petraea (Sw.) Desv.,(Sw.) Desv.,accepted,,Eustachys Desv.,Poaceae Barnhart,Poales,Liliopsida,Tracheophyta,Plantae,"Banco Taxonômico Integrado da Biodiversidade Brasileira - Flora, Funga e Fauna",HXBC,,,TAXON,
4FZ3,species,Callicarpa nudiflora Hook. & Arn.,Hook. & Arn.,accepted,,Callicarpa L.,Lamiaceae Martinov,Lamiales,Magnoliopsida,Tracheophyta,Plantae,"Banco Taxonômico Integrado da Biodiversidade Brasileira - Flora, Funga e Fauna",CZZJ,,,TAXON,
6C6,species,Azolla microphylla Kaulf.,Kaulf.,accepted,,Azolla Lam.,Salviniaceae Martinov,Salviniales,Polypodiopsida,Tracheophyta,Plantae,"Banco Taxonômico Integrado da Biodiversidade Brasileira - Flora, Funga e Fauna",FBHP,,,TAXON,
42Y3,species,"Adelpha plesaure Hübner, 1823","Hübner, 1823",accepted,,"Adelpha Hübner, [1819]","Nymphalidae Rafinesque, 1815","Lepidoptera Linnaeus, 1758","Insecta Linnaeus, 1758","Arthropoda Gravenhorst, 1843",Animalia,"Banco Taxonômico Integrado da Biodiversidade Brasileira - Flora, Funga e Fauna",J8WT,,,TAXON,
FRS4,species,Fimbristylis aestivalis (Retz.) Vahl,(Retz.) Vahl,accepted,,Fimbristylis Vahl,Cyperaceae Juss.,Poales,Liliopsida,Tracheophyta,Plantae,"Banco Taxonômico Integrado da Biodiversidade Brasileira - Flora, Funga e Fauna",36FB,,,TAXON,
5T9Y,species,"Hirundinea ferruginea (Gmelin, 1788)","(Gmelin, 1788)",accepted,,"Hirundinea d'Orbigny & Lafresnaye, 1837","Tyrannidae Vigors, 1825","Passeriformes Linnaeus, 1758","Aves Linnaeus, 1758","Chordata Haeckel, 1874",Animalia,"Banco Taxonômico Integrado da Biodiversidade Brasileira - Flora, Funga e Fauna",HTZY,,,TAXON,
FPKJ,species,Lepidaploa aurea (Mart. ex DC.) H.Rob.,(Mart. ex DC.) H.Rob.,accepted,,Lepidaploa (Cass.) Cass.,Asteraceae Bercht. & J.Presl,Asterales,Magnoliopsida,Tracheophyta,Plantae,"Banco Taxonômico Integrado da Biodiversidade Brasileira - Flora, Funga e Fauna",DX92,,,TAXON,
6NK5,species,Peltogyne angustiflora Ducke,Ducke,accepted,,Peltogyne Vogel,Fabaceae Lindl.,Fabales,Magnoliopsida,Tracheophyta,Plantae,"Banco Taxonômico Integrado da Biodiversidade Brasileira - Flora, Funga e Fauna",HKPQ,,,TAXON,
DK3C,species,"Ramphocaenus melanurus Vieillot, 1819","Vieillot, 1819",accepted,,"Ramphocaenus Vieillot, 1819","Polioptilidae Baird, 1858","Passeriformes Linnaeus, 1758","Aves Linnaeus, 1758","Chordata Haeckel, 1874",Animalia,"Banco Taxonômico Integrado da Biodiversidade Brasileira - Flora, Funga e Fauna",BRTR,,,TAXON,
GYGY,species,Eugenia neosilvestris Sobral,Sobral,accepted,,Eugenia L.,Myrtaceae Juss.,Myrtales,Magnoliopsida,Tracheophyta,Plantae,"Banco Taxonômico Integrado da Biodiversidade Brasileira - Flora, Funga e Fauna",CX2G,,,TAXON,
GYGM,species,"Hyperaspis conclusa Weise, 1906","Weise, 1906",accepted,,"Hyperaspis Chevrolat, 1837","Coccinellidae Latreille, 1807","Coleoptera Linnaeus, 1758","Insecta Linnaeus, 1758","Arthropoda Gravenhorst, 1843",Animalia,"Banco Taxonômico Integrado da Biodiversidade Brasileira - Flora, Funga e Fauna",CPB2,,,TAXON,
FLJ5,species,Morus nigra L.,L.,accepted,,Morus L.,Moraceae Gaudich.,Rosales,Magnoliopsida,Tracheophyta,Plantae,"Banco Taxonômico Integrado da Biodiversidade Brasileira - Flora, Funga e Fauna",H4KW,,,TAXON,
56LH,species,Mikania ternata (Vell.) B.L.Rob.,(Vell.) B.L.Rob.,accepted,,Mikania Willd.,Asteraceae Bercht. & J.Presl,Asterales,Magnoliopsida,Tracheophyta,Plantae,"Banco Taxonômico Integrado da Biodiversidade Brasileira - Flora, Funga e Fauna",FGDW,,,TAXON,
FF52,species,Stizophyllum inaequilaterum Bureau & K.Schum.,Bureau & K.Schum.,accepted,,Stizophyllum Miers,Bignoniaceae Juss.,Lamiales,Magnoliopsida,Tracheophyta,Plantae,"Banco Taxonômico Integrado da Biodiversidade Brasileira - Flora, Funga e Fauna",H3YK,,,TAXON,
9KTJ,species,Spigelia tetraptera Taub. ex L.B.Sm.,Taub. ex L.B.Sm.,accepted,,Spigelia L.,Loganiaceae R.Br. ex Mart.,Gentianales,Magnoliopsida,Tracheophyta,Plantae,"Banco Taxonômico Integrado da Biodiversidade Brasileira - Flora, Funga e Fauna",CGZ6,,,TAXON,
BHBS,species,Passovia pyrifolia (Kunth) Tiegh.,(Kunth) Tiegh.,accepted,,Passovia H.Karst.,Loranthaceae Juss.,Santalales,Magnoliopsida,Tracheophyta,Plantae,"Banco Taxonômico Integrado da Biodiversidade Brasileira - Flora, Funga e Fauna",GBZG,,,TAXON,
84QD,species,Justicia polita (Nees) Profice,(Nees) Profice,accepted,,Justicia L.,Acanthaceae Juss.,Lamiales,Magnoliopsida,Tracheophyta,Plantae,"Banco Taxonômico Integrado da Biodiversidade Brasileira - Flora, Funga e Fauna",9TPZ,,,TAXON,
BS23,species,Glandularia selloi (Spreng.) Tronc.,(Spreng.) Tronc.,accepted,,Glandularia J.F.Gmel.,Verbenaceae J.St.-Hil.,Lamiales,Magnoliopsida,Tracheophyta,Plantae,"Banco Taxonômico Integrado da Biodiversidade Brasileira - Flora, Funga e Fauna",J4WX,,,TAXON,
4PN8,species,"Petasodes dominicana (Burmeister, 1838)","(Burmeister, 1838)",accepted,,"Petasodes Saussure, 1864","Blaberidae Saussure, 1864","Blattaria Burmeister, 1829","Insecta Linnaeus, 1758","Arthropoda Gravenhorst, 1843",Animalia,"Banco Taxonômico Integrado da Biodiversidade Brasileira - Flora, Funga e Fauna",3NQJ,,,TAXON,
BZ7V,species,Serpocaulon levigatum (Cav.) A.R.Sm.,(Cav.) A.R.Sm.,accepted,,Serpocaulon A.R.Sm.,Polypodiaceae J.Presl,Polypodiales,Polypodiopsida,Tracheophyta,Plantae,"Banco Taxonômico Integrado da Biodiversidade Brasileira - Flora, Funga e Fauna",C8T4,,,TAXON,
7TDL,species,Nidularium longiflorum Ule,Ule,accepted,,Nidularium Lem.,Bromeliaceae A.Juss.,Poales,Liliopsida,Tracheophyta,Plantae,"Banco Taxonômico Integrado da Biodiversidade Brasileira - Flora, Funga e Fauna",HZJZ,,,TAXON,
9N77,species,"Pionites melanocephalus (Linnaeus, 1758)","(Linnaeus, 1758)",accepted,,"Pionites Heine, 1890","Psittacidae Rafinesque, 1815","Psittaciformes Wagler, 1830","Aves Linnaeus, 1758","Chordata Haeckel, 1874",Animalia,"Banco Taxonômico Integrado da Biodiversidade Brasileira - Flora, Funga e Fauna",3S2K,,,TAXON,
7XD8,species,Oeceoclades maculata (Lindl.) Lindl.,(Lindl.) Lindl.,accepted,,Oeceoclades Lindl.,Orchidaceae A.Juss.,Asparagales,Liliopsida,Tracheophyta,Plantae,"Banco Taxonômico Integrado da Biodiversidade Brasileira - Flora, Funga e Fauna",DJRV,,,TAXON,
4QMW,species,Stigmatopteris caudata (Raddi) C.Chr.,(Raddi) C.Chr.,accepted,,Stigmatopteris C.Chr.,Dryopteridaceae Herter,Polypodiales,Polypodiopsida,Tracheophyta,Plantae,"Banco Taxonômico Integrado da Biodiversidade Brasileira - Flora, Funga e Fauna",DL78,,,TAXON,
FVP,species,Hemerocallis fulva (L.) L.,(L.) L.,accepted,,Hemerocallis L.,Asphodelaceae Juss.,Asparagales,Liliopsida,Tracheophyta,Plantae,"Banco Taxonômico Integrado da Biodiversidade Brasileira - Flora, Funga e Fauna",7V5M,,,TAXON,
DVFJ,species,Senna undulata (Benth.) H.S.Irwin & Barneby,(Benth.) H.S.Irwin & Barneby,accepted,,Senna Mill.,Fabaceae Lindl.,Fabales,Magnoliopsida,Tracheophyta,Plantae,"Banco Taxonômico Integrado da Biodiversidade Brasileira - Flora, Funga e Fauna",6C2W,,,TAXON,
37D7,species,Viola × wittrockiana Gams,Gams,accepted,,Viola L.,Violaceae Batsch,Malpighiales,Magnoliopsida,Tracheophyta,Plantae,"Banco Taxonômico Integrado da Biodiversidade Brasileira - Flora, Funga e Fauna",XJB,,,TAXON,
D3CJ,species,Mimosa rufescens Benth.,Benth.,accepted,,Mimosa L.,Fabaceae Lindl.,Fabales,Magnoliopsida,Tracheophyta,Plantae,"Banco Taxonômico Integrado da Biodiversidade Brasileira - Flora, Funga e Fauna",9C36,,,TAXON,
HCNS,species,Miconia amoena Triana,Triana,accepted,,Miconia Ruiz & Pav.,Melastomataceae A.Juss.,Myrtales,Magnoliopsida,Tracheophyta,Plantae,"Banco Taxonômico Integrado da Biodiversidade Brasileira - Flora, Funga e Fauna",B5V5,,,TAXON,
3TYV,species,Annona pickelii (Diels) H.Rainer,(Diels) H.Rainer,accepted,,Annona L.,Annonaceae Juss.,Magnoliales,Magnoliopsida,Tracheophyta,Plantae,"Banco Taxonômico Integrado da Biodiversidade Brasileira - Flora, Funga e Fauna",G3ZQ,,,TAXON,
FSLC,species,"Bubulcus ibis (Linnaeus, 1758)","(Linnaeus, 1758)",accepted,,"Bubulcus Bonaparte, 1855","Ardeidae Leach, 1820","Pelecaniformes Sharpe, 1891","Aves Linnaeus, 1758","Chordata Haeckel, 1874",Animalia,"Banco Taxonômico Integrado da Biodiversidade Brasileira - Flora, Funga e Fauna",9PBR,,,TAXON,
7K28,species,Unxia camphorata L.f.,L.f.,accepted,,Unxia L.f.,Asteraceae Bercht. & J.Presl,Asterales,Magnoliopsida,Tracheophyta,Plantae,"Banco Taxonômico Integrado da Biodiversidade Brasileira - Flora, Funga e Fauna",TN,,,TAXON,
8GPH,species,Stropharia coronilla (Bull.) Quél.,(Bull.) Quél.,accepted,,Stropharia (Fr.) Quél.,,Agaricales Underw.,,Basidiomycota Whittaker ex R.T. Moore,Fungi,"Banco Taxonômico Integrado da Biodiversidade Brasileira - Flora, Funga e Fauna",5HCY,,,TAXON,
HBW6,species,Passiflora miniata Vanderpl.,Vanderpl.,accepted,,Passiflora L.,Passifloraceae Juss. ex Roussel,Malpighiales,Magnoliopsida,Tracheophyta,Plantae,"Banco Taxonômico Integrado da Biodiversidade Brasileira - Flora, Funga e Fauna",CY2Y,,,TAXON,
9WSL,species,Myrcia deflexa (Poir.) DC.,(Poir.) DC.,accepted,,Myrcia DC.,Myrtaceae Juss.,Myrtales,Magnoliopsida,Tracheophyta,Plantae,"Banco Taxonômico Integrado da Biodiversidade Brasileira - Flora, Funga e Fauna",8V6D,,,TAXON,
53XZ,species,"Sysinas pallidipes Stål, 1860","Stål, 1860",accepted,,"Sysinas Distant, 1883","Miridae Hahn, 1831","Hemiptera Linnaeus, 1758","Insecta Linnaeus, 1758","Arthropoda Gravenhorst, 1843",Animalia,"Banco Taxonômico Integrado da Biodiversidade Brasileira - Flora, Funga e Fauna",9TFM,,,TAXON,
4SNK,species,"Astropecten brasiliensis Müller & Troschel, 1842","Müller & Troschel, 1842",accepted,,"Astropecten Gray, 1840","Astropectinidae Gray, 1840","Paxillosida Perrier, 1884","Asteroidea de Blainville, 1830","Echinodermata Bruguière, 1791",Animalia,"Banco Taxonômico Integrado da Biodiversidade Brasileira - Flora, Funga e Fauna",FRM,,,TAXON,
DKSW,species,Luehea rufescens A.St.-Hil.,A.St.-Hil.,accepted,,Luehea Willd.,Malvaceae Juss.,Malvales,Magnoliopsida,Tracheophyta,Plantae,"Banco Taxonômico Integrado da Biodiversidade Brasileira - Flora, Funga e Fauna",6F33,,,TAXON,
9QSJ,species,Paepalanthus planifolius (Bong.) Körn.,(Bong.) Körn.,accepted,,Paepalanthus Mart.,Eriocaulaceae Martinov,Poales,Liliopsida,Tracheophyta,Plantae,"Banco Taxonômico Integrado da Biodiversidade Brasileira - Flora, Funga e Fauna",9N6W,,,TAXON,
