ID taxonômico,Classificação taxonômica,nome científico,scientificNameAuthorship,taxonomicStatus,estabelecer meios,Gênero,família,ordem,classe,filo,reino,nome do conjunto de dados,parentGuid,acceptedConceptName,acceptedConceptID,tipo,título
89ML,species,Bunchosia pallescens Skottsb.,Skottsb.,accepted,,Bunchosia Rich. ex Juss.,Malpighiaceae Juss.,Malpighiales,Magnoliopsida,Tracheophyta,Plantae,"Banco Taxonômico Integrado da Biodiversidade Brasileira - Flora, Funga e Fauna",GBNR,,,TAXON,
5FSD,species,Passiflora gibertii N.E.Br.,N.E.Br.,accepted,,Passiflora L.,Passifloraceae Juss. ex Roussel,Malpighiales,Magnoliopsida,Tracheophyta,Plantae,"Banco Taxonômico Integrado da Biodiversidade Brasileira - Flora, Funga e Fauna",CY2Y,,,TAXON,
9522,species,Leptobalanus apetalus (E.Mey.) Sothers & Prance,(E.Mey.) Sothers & Prance,accepted,,Leptobalanus (Benth.) Sothers & Prance,Chrysobalanaceae R.Br.,Malpighiales,Magnoliopsida,Tracheophyta,Plantae,"Banco Taxonômico Integrado da Biodiversidade Brasileira - Flora, Funga e Fauna",5GSH,,,TAXON,
9SZD,species,"Leptodon cayanensis (Latham, 1790)","(Latham, 1790)",accepted,,"Leptodon Sundevall, 1836","Accipitridae Vigors, 1824","Accipitriformes Bonaparte, 1831","Aves Linnaeus, 1758","Chordata Haeckel, 1874",Animalia,"Banco Taxonômico Integrado da Biodiversidade Brasileira - Flora, Funga e Fauna",X99,,,TAXON,
7WQX,species,Oryza latifolia Desv.,Desv.,accepted,,Oryza L.,Poaceae Barnhart,Poales,Liliopsida,Tracheophyta,Plantae,"Banco Taxonômico Integrado da Biodiversidade Brasileira - Flora, Funga e Fauna",379K,,,TAXON,
FGLG,species,Calliandra spinosa Ducke,Ducke,accepted,,Calliandra Benth.,Fabaceae Lindl.,Fabales,Magnoliopsida,Tracheophyta,Plantae,"Banco Taxonômico Integrado da Biodiversidade Brasileira - Flora, Funga e Fauna",5VSC,,,TAXON,
88SX,species,Adiantum obliquum Willd.,Willd.,accepted,,Adiantum L.,Pteridaceae E.D.M.Kirchn.,Polypodiales,Polypodiopsida,Tracheophyta,Plantae,"Banco Taxonômico Integrado da Biodiversidade Brasileira - Flora, Funga e Fauna",6DRS,,,TAXON,
7FL5,species,"Noctuana diurna (Butler, 1870)","(Butler, 1870)",accepted,,"Noctuana Bell, 1937","Hesperiidae Latreille, 1809","Lepidoptera Linnaeus, 1758","Insecta Linnaeus, 1758","Arthropoda Gravenhorst, 1843",Animalia,"Banco Taxonômico Integrado da Biodiversidade Brasileira - Flora, Funga e Fauna",C4R7,,,TAXON,
DLNQ,species,"Montina confusa (Stål, 1859)","(Stål, 1859)",accepted,,"Montina Amyot & Serville, 1843","Reduviidae Latreille, 1807","Hemiptera Linnaeus, 1758","Insecta Linnaeus, 1758","Arthropoda Gravenhorst, 1843",Animalia,"Banco Taxonômico Integrado da Biodiversidade Brasileira - Flora, Funga e Fauna",5Y4,,,TAXON,
DFJH,species,"Vitalia galipensis (Müll. Hal.) P.E.A.S.Câmara, Carv.-Silva & W.R. Buck","(Müll. Hal.) P.E.A.S.Câmara, Carv.-Silva & W.R. Buck",accepted,,"Vitalia P.E.A.S.Câmara, Carv.-Silva & W.R. Buck",Sematophyllaceae Broth.,Hypnales,Bryopsida,Bryophyta,Plantae,"Banco Taxonômico Integrado da Biodiversidade Brasileira - Flora, Funga e Fauna",3P5W,,,TAXON,
