epoch,accuracy,loss,top5_acc,val_accuracy,val_loss,val_top5_acc
0,0.12634620070457458,7.469917297363281,0.23695404827594757,0.1004219651222229,7.071744918823242,0.21589088439941406
1,0.3616010248661041,3.8960981369018555,0.5618635416030884,0.13388505578041077,7.225934982299805,0.2764057517051697
2,0.4518650472164154,3.1641671657562256,0.6605709195137024,0.15226848423480988,7.594225883483887,0.30463510751724243
3,0.5760784149169922,2.1453118324279785,0.7715010643005371,0.18628765642642975,7.0465593338012695,0.34503287076950073
4,0.6089144945144653,1.9147404432296753,0.8006047010421753,0.1937784105539322,7.112639427185059,0.3529161512851715
5,0.6320063471794128,1.7710938453674316,0.8192492723464966,0.20460566878318787,7.101511001586914,0.3654443621635437
6,0.6612447500228882,1.5534281730651855,0.8437064290046692,0.22707794606685638,6.664257049560547,0.3920709192752838
7,0.6775163412094116,1.463762640953064,0.8537845611572266,0.23267148435115814,6.61978006362915,0.39907100796699524
8,0.6887077689170837,1.3921117782592773,0.8633822798728943,0.2359098494052887,6.641637802124023,0.4003794491291046
9,0.6998875141143799,1.3290785551071167,0.8713862299919128,0.24277910590171814,6.626603126525879,0.40613654255867004
0,0.4453083872795105,2.738819122314453,0.6277821660041809,0.26819536089897156,4.950175762176514,0.4341696500778198
1,0.5617052912712097,1.9913780689239502,0.7768213748931885,0.29629388451576233,4.803757190704346,0.4657682180404663
2,0.6002660393714905,1.783976674079895,0.8069503903388977,0.30941087007522583,4.722989082336426,0.47790390253067017
3,0.6237387657165527,1.6552348136901855,0.8253196477890015,0.318668007850647,4.671741962432861,0.48755356669425964
4,0.6411529183387756,1.5635470151901245,0.8381048440933228,0.3256354033946991,4.627964973449707,0.4942265450954437
